id,subject_ID,Task_type,Question_Num,Question_Type,Answer,Accuracy,Assessment_Self,Assessment_Peers,Language
1,1,do,1,serial,0,0.0,60.0,60.0,English
2,1,do,2,serial,0,1.0,60.0,60.0,English
3,1,do,3,serial,1,1.0,60.0,60.0,English
4,1,do,4,serial,1,1.0,60.0,60.0,English
5,1,do,5,serial,0,1.0,60.0,60.0,English
6,1,do,6,serial,1,1.0,60.0,60.0,English
7,1,do,7,serial,0,0.0,60.0,60.0,English
8,1,do,8,serial,0,1.0,60.0,60.0,English
9,1,do,9,serial,0,1.0,60.0,60.0,English
10,1,do,10,serial,1,1.0,60.0,60.0,English
11,1,do,11,serial,1,1.0,60.0,60.0,English
12,1,do,12,concurrent,0,0.0,60.0,60.0,English
13,1,do,13,concurrent,0,0.0,60.0,60.0,English
14,1,do,14,concurrent,0,1.0,60.0,60.0,English
15,1,do,15,concurrent,1,0.0,60.0,60.0,English
16,1,do,16,concurrent,1,0.0,60.0,60.0,English
17,2,do,1,serial,1,1.0,60.0,60.0,English
18,2,do,2,serial,1,0.0,60.0,60.0,English
19,2,do,3,serial,0,0.0,60.0,60.0,English
20,2,do,4,serial,0,0.0,60.0,60.0,English
21,2,do,5,serial,1,0.0,60.0,60.0,English
22,2,do,6,serial,1,1.0,60.0,60.0,English
23,2,do,7,serial,0,0.0,60.0,60.0,English
24,2,do,8,serial,1,0.0,60.0,60.0,English
25,2,do,9,serial,0,1.0,60.0,60.0,English
26,2,do,10,serial,1,1.0,60.0,60.0,English
27,2,do,11,serial,0,0.0,60.0,60.0,English
28,2,do,12,concurrent,1,1.0,60.0,60.0,English
29,2,do,13,concurrent,0,0.0,60.0,60.0,English
30,2,do,14,concurrent,1,0.0,60.0,60.0,English
31,2,do,15,concurrent,0,1.0,60.0,60.0,English
32,2,do,16,concurrent,1,0.0,60.0,60.0,English
33,3,recall,1,serial,1,1.0,69.0,72.0,English
34,3,recall,2,serial,1,0.0,69.0,72.0,English
35,3,recall,3,serial,1,1.0,69.0,72.0,English
36,3,recall,4,serial,1,1.0,69.0,72.0,English
37,3,recall,5,serial,1,0.0,69.0,72.0,English
38,3,recall,6,serial,1,1.0,69.0,72.0,English
39,3,recall,7,serial,1,1.0,69.0,72.0,English
40,3,recall,8,serial,1,0.0,69.0,72.0,English
41,3,recall,9,serial,1,0.0,69.0,72.0,English
42,3,recall,10,serial,1,1.0,69.0,72.0,English
43,3,recall,11,serial,1,1.0,69.0,72.0,English
44,3,recall,12,concurrent,1,1.0,69.0,72.0,English
45,3,recall,13,concurrent,1,1.0,69.0,72.0,English
46,3,recall,14,concurrent,1,0.0,69.0,72.0,English
47,3,recall,15,concurrent,0,1.0,69.0,72.0,English
48,3,recall,16,concurrent,0,1.0,69.0,72.0,English
49,4,recall,1,serial,1,1.0,50.0,50.0,English
50,4,recall,2,serial,1,0.0,50.0,50.0,English
51,4,recall,3,serial,1,1.0,50.0,50.0,English
52,4,recall,4,serial,1,1.0,50.0,50.0,English
53,4,recall,5,serial,1,0.0,50.0,50.0,English
54,4,recall,6,serial,1,1.0,50.0,50.0,English
55,4,recall,7,serial,1,1.0,50.0,50.0,English
56,4,recall,8,serial,1,0.0,50.0,50.0,English
